M,TotalCost,MachineCost,InspectionCost,Time,P_avg
2,-49.99999999999441,-59.08491912019441,9.0849191202,2.986567258834839,0.6797083690935962
3,-49.99999999999098,-62.013119120190986,12.0131191202,2.979159116744995,0.6005159316363103
4,-49.999999788239435,-66.30029652843943,16.3002967402,3.002807140350342,0.6916668584267027
5,-49.99999999418803,-68.72029673438803,18.7202967402,2.934567928314209,0.566852798929467
6,-49.999999999999,-72.263418740199,22.263418740200002,2.880237102508545,0.6707895407342555
7,-49.99999999999904,-74.46341874019905,24.463418740200005,2.9366250038146973,0.7063576467582325
8,-49.999999999997684,-79.1793141221977,29.179314122200008,2.9316651821136475,0.7245340747581447
9,-49.99999997641665,-82.40033409861667,32.400334122200015,2.9756920337677,0.7577124479115551
